treatment,pod,plant_number,root_length,node,leaf_pair,shoot_length,root_number
ssfw,4,1,2.4,0,2,2.6,3
ssfw,4,2,0.9,4,4,4.7,2
ssfw,4,3,1,3,3,4.6,5
ssfw,4,4,0.4,2,6,4.1,2
ssfw,4,5,1.6,5,4,5.8,1
ssfw,4,6,1.7,3,3,4.4,1
ssfw,4,7,0.4,0,2,3.2,2
ssfw,4,8,0.1,0,1,3.1,2
ssfw,4,9,0.3,2,2,4.1,4
ssfw,4,10,0.2,0,1,1.5,1
ssfw,4,11,0.4,4,2,3.1,2
ssfw,4,12,0.7,3,3,4.4,1
ssfw,4,13,0.9,2,1,2.3,3
ssfw,4,14,1.2,3,4,6,4
ssfw,3,1,0.9,3,3,3.5,5
ssfw,3,2,1,2,2,4.4,4
ssfw,3,3,0.2,2,2,3.2,4
ssfw,3,4,0.4,4,3,4.9,5
ssfw,3,5,0.9,2,3,3.8,1
ssfw,3,6,0.9,3,3,4.9,4
ssfw,3,7,0.4,4,2,2.9,1
ssfw,3,8,0.4,3,3,4.4,1
ssfw,3,9,0.3,0,2,1.9,1
ssfw,3,10,1.1,0,3,4.1,1
ssfw,3,11,0.5,0,2,1.3,1
ssfw,3,12,1.8,4,3,5.1,4
ssfw,3,13,1.9,3,1,2.9,2
ssfw,3,14,0.3,3,2,2.8,3
ssfw,3,15,1.7,3,4,5.3,4
ssfw,3,16,1.9,3,4,6.5,5
ssfw,3,17,1.9,4,3,4.9,3
ssfw,2,1,0.6,0,2,3.3,1
ssfw,2,2,1.2,6,4,4.9,3
ssfw,2,3,0.3,4,2,2.9,1
ssfw,2,4,0.3,0,3,3.9,1
ssfw,2,5,0.3,0,2,4.1,1
ssfw,2,6,1.1,5,3,4.9,5
ssfw,2,7,1.9,3,3,4.9,3
ssfw,2,8,1.9,1,2,2.9,2
ssfw,2,9,1.4,3,2,4.7,1
ssfw,2,10,0.2,0,2,2,1
ssfw,2,11,0.3,7,4,5,4
ssfw,2,12,0.1,0,2,5.3,1
ssfw,1,1,0.4,2,2,2.9,1
ssfw,1,2,1.1,2,3,3.6,1
ssfw,1,3,1.4,0,1,4.2,1
ssfw,1,4,1.9,3,2,3.9,4
ssfw,1,5,1.3,5,3,3.7,3
ssfw,1,6,0.3,2,2,2.9,2
ssfw,1,7,1.2,8,4,6.5,4
ssfw,1,8,1.1,7,4,4.6,3
ssfw,1,9,0.4,3,4,4.3,3
ssfw,1,10,1.9,2,3,5.2,3
ssfw,1,11,1.7,3,33,3.7,2
ssfw,1,12,1.1,2,3,3.7,2
ssfw,1,13,0.9,3,3,5.2,2
ssfw,1,14,1.7,2,2,4.1,3
ssfw,1,15,0.7,4,3,5.5,3
ssfw,1,16,0.9,3,2,2.4,2
ssfw,1,17,0.9,2,2,2.9,1
isw ,1,1,0.5,1,3,2.2,1
isw ,1,2,0.6,0,3,2.2,1
isw ,1,3,1.9,2,3,2.4,2
isw ,1,4,0.1,1,1,2.7,1
isw ,1,5,0.3,0,2,1,1
isw ,1,6,0.7,1,2,2.5,2
isw ,1,7,2,0,2,2,1
isw ,1,8,0.5,0,1,2.5,1
isw ,1,9,0.7,0,3,0.5,1
isw ,1,10,0.7,0,2,2,2
isw ,1,11,0.2,0,2,1.5,1
isw ,1,12,0.1,0,1,1,1
isw ,1,13,0.5,0,2,1,1
isw ,2,1,1,0,2,2,1
isw ,2,2,1.2,0,3,1.6,1
isw ,2,3,1,0,2,2,1
isw ,2,4,1.6,0,0,2.1,1
isw ,2,5,1.2,0,2,1.5,1
isw ,3,1,1,0,2,1.5,1
isw ,3,2,0.6,0,2,2.5,1
isw ,3,3,0.3,0,2,2,1
isw ,3,4,0.3,0,2,2,1
isw ,4,1,1.1,0,3,2.3,3
isw ,4,2,2,0,2,2,2
isw ,4,3,1.4,0,2,1.5,2
isw ,4,4,1.5,0,2,1.7,3
isw ,4,5,0.3,0,2,1.1,1
isw ,4,6,1.2,0,1,1.9,1
ssw,4,1,0.2,0,2,2.7,1
ssw,4,2,0.8,0,3,3.2,3
ssw,4,3,0.8,1,4,6,3
ssw,4,4,1.1,0,3,4.1,5
ssw,4,5,0.3,0,2,2.3,1
ssw,4,6,1.2,0,3,4.2,1
ssw,4,7,1.4,2,2,5.3,4
ssw,4,8,1.1,0,2,3.5,4
ssw,4,9,2.9,1,2,4.7,2
ssw,4,10,1.2,0,3,3.3,2
ssw,4,11,0.5,0,3,5.1,1
ssw,4,12,1.2,3,3,7.5,5
ssw,4,13,0.9,0,4,5.3,2
ssw,4,14,1.2,1,2,5.5,2
ssw,4,15,1,0,2,5,1
ssw,4,16,0.8,0,3,4.3,2
ssw,4,17,1.2,0,2,4.2,3
ssw,4,18,2.1,2,2,6.2,7
ssw,4,19,1.2,0,3,5.6,5
ssw,4,20,1.4,3,3,3.5,3
ssw,1,1,0.9,1,3,5.6,2
ssw,1,2,0.6,0,2,2.5,1
ssw,1,3,0.3,0,4,4.5,1
ssw,1,4,0.3,0,1,3.4,1
ssw,1,5,0.9,1,4,3.6,3
ssw,1,6,1,1,2,3.6,2
ssw,1,7,0.4,0,1,2.4,1
ssw,1,8,0.7,0,2,2.1,1
ssw,1,9,0.1,0,2,2.5,1
ssw,1,10,1.7,0,4,4.4,1
ssw,2,1,1.5,0,3,4.6,2
ssw,2,2,1.6,0,4,6.4,1
ssw,2,3,2,1,4,6.3,3
ssw,2,4,0.9,0,2,2.8,1
ssw,2,5,0.1,0,2,3.1,1
ssw,2,6,1.9,0,3,4,1
ssw,2,7,0.3,0,2,3.2,1
ssw,2,8,0.4,0,3,4.3,1
ssw,2,9,1,1,4,5.9,2
ssw,2,10,0.9,0,3,4.6,1
ssw,2,11,0.5,0,4,4.6,1
ssw,2,12,2.3,3,4,5.9,4
ssw,2,13,2.1,3,5,6.4,4
ssw,2,14,2.4,1,4,6.2,4
ssw,2,15,0.4,1,2,2.3,2
ssw,2,16,0.9,1,4,5.3,2
ssw,2,17,1.6,0,4,6.9,1
ssw,2,18,2.4,3,4,6.6,4
ssw,2,19,0.5,1,4,4.1,2
ssw,2,20,0.6,1,4,3.4,2